Código;Descripción;Padre;;;;;;;;;;;;;;;;;;;;;;;
2263;Profesionales de la salud y la higiene laboral y ambiental;226;;;;;;;;;;;;;;;;;;;;;;;
2264;Fisioterapeutas ;226;;;;;;;;;;;;;;;;;;;;;;;
2265;Dietistas y nutricionistas;226;;;;;;;;;;;;;;;;;;;;;;;
2266;Fonoaudiólogos y terapeutas del lenguaje;226;;;;;;;;;;;;;;;;;;;;;;;
2267;Optómetras;226;;;;;;;;;;;;;;;;;;;;;;;
2269;Otros profesionales de la salud no clasificados en otros grupos primarios;226;;;;;;;;;;;;;;;;;;;;;;;
23;PROFESIONALES DE LA EDUCACIÓN;2;;;;;;;;;;;;;;;;;;;;;;;
231;Profesores de instituciones de educación superior;23;;;;;;;;;;;;;;;;;;;;;;;
2310;Profesores de instituciones de educación superior;231;;;;;;;;;;;;;;;;;;;;;;;
232;Profesores de formación profesional;23;;;;;;;;;;;;;;;;;;;;;;;
2320;Profesores de formación profesional;232;;;;;;;;;;;;;;;;;;;;;;;
233;Profesores de educación secundaria;23;;;;;;;;;;;;;;;;;;;;;;;
2330;Profesores de educación secundaria;233;;;;;;;;;;;;;;;;;;;;;;;
234;Profesores de educación primaria y de primera infancia;23;;;;;;;;;;;;;;;;;;;;;;;
2341;Profesores de educación primaria;234;;;;;;;;;;;;;;;;;;;;;;;
2342;Profesores de primera infancia ;234;;;;;;;;;;;;;;;;;;;;;;;
235;Otros profesionales de la educación;23;;;;;;;;;;;;;;;;;;;;;;;
2351;Especialistas en métodos pedagógicos;235;;;;;;;;;;;;;;;;;;;;;;;
2352;Profesores de educación especial e inclusiva;235;;;;;;;;;;;;;;;;;;;;;;;
2353;Otros profesores de idiomas;235;;;;;;;;;;;;;;;;;;;;;;;
2354;Otros profesores de música;235;;;;;;;;;;;;;;;;;;;;;;;
2355;Otros profesores de artes;235;;;;;;;;;;;;;;;;;;;;;;;
2356;Instructores de tecnología de la información;235;;;;;;;;;;;;;;;;;;;;;;;
2359;Otros profesionales de la educación no clasificados en otros grupos primarios;235;;;;;;;;;;;;;;;;;;;;;;;
24;PROFESIONALES DE NEGOCIOS Y DE ADMINISTRACIÓN;2;;;;;;;;;;;;;;;;;;;;;;;
241;Profesionales en finanzas;24;;;;;;;;;;;;;;;;;;;;;;;
2411;Contadores;241;;;;;;;;;;;;;;;;;;;;;;;
2412;Asesores financieros y de inversiones;241;;;;;;;;;;;;;;;;;;;;;;;
2413;Analistas financieros;241;;;;;;;;;;;;;;;;;;;;;;;
242;Profesionales de la administración;24;;;;;;;;;;;;;;;;;;;;;;;
2421;Analistas de gestión y organización;242;;;;;;;;;;;;;;;;;;;;;;;
2422;Profesionales en políticas de administración;242;;;;;;;;;;;;;;;;;;;;;;;
2423;Profesionales de gestión de talento humano;242;;;;;;;;;;;;;;;;;;;;;;;
2424;Profesionales en formación y desarrollo de personal;242;;;;;;;;;;;;;;;;;;;;;;;
243;Profesionales de las ventas, la comercialización y las relaciones públicas;24;;;;;;;;;;;;;;;;;;;;;;;
2431;Profesionales de la publicidad y la comercialización;243;;;;;;;;;;;;;;;;;;;;;;;
2432;Profesionales de relaciones públicas;243;;;;;;;;;;;;;;;;;;;;;;;
2433;Profesionales de ventas técnicas y médicas (excluyendo las TIC);243;;;;;;;;;;;;;;;;;;;;;;;
2434;Profesionales de ventas de tecnología de la información y las comunicaciones;243;;;;;;;;;;;;;;;;;;;;;;;
25;PROFESIONALES DE TECNOLOGÍA DE LA INFORMACIÓN Y LAS COMUNICACIONES;2;;;;;;;;;;;;;;;;;;;;;;;
251;Desarrolladores y analistas de software y multimedia;25;;;;;;;;;;;;;;;;;;;;;;;
2511;Analistas de sistemas;251;;;;;;;;;;;;;;;;;;;;;;;
2512;Desarrolladores de software;251;;;;;;;;;;;;;;;;;;;;;;;
